epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.66903,1.32338,3.90668,1.24689,0.00181,0.19444,0.02474,0.01683,0.9275,4.07453,1.08386,8e-05,8e-05,8e-05
2,7.66467,1.07604,3.74221,1.10716,0.00232,0.30556,0.01004,0.00414,1.03839,4.0044,1.05566,0.00016439,0.00016439,0.00016439
3,11.3528,1.10093,3.59908,1.17069,0.00869,0.29167,0.02563,0.01928,1.21107,4.08028,1.1011,0.00024284,0.00024284,0.00024284
4,15.0901,0.95841,3.54205,1.00087,0.00869,0.29167,0.02563,0.01928,1.21107,4.08028,1.1011,0.00031535,0.00031535,0.00031535
5,18.9381,0.92003,3.3435,1.02908,0.03109,0.27778,0.03498,0.01324,0.91817,4.05472,0.96697,0.00038192,0.00038192,0.00038192
6,22.637,0.89797,3.29449,1.02116,0.02588,0.19444,0.15387,0.13386,0.54714,3.92329,0.84657,0.00044255,0.00044255,0.00044255
7,26.2719,0.80465,3.02885,1.02334,0.02588,0.19444,0.15387,0.13386,0.54714,3.92329,0.84657,0.00049724,0.00049724,0.00049724
8,29.961,0.80095,3.09332,0.9503,0.02588,0.19444,0.15387,0.13386,0.54714,3.92329,0.84657,0.00054599,0.00054599,0.00054599
9,33.6147,0.7219,2.96419,0.92739,0.03349,0.52778,0.2657,0.20998,0.62522,3.45407,0.83237,0.0005888,0.0005888,0.0005888
10,37.1873,0.77068,2.72014,0.97278,0.03349,0.52778,0.2657,0.20998,0.62522,3.45407,0.83237,0.00062567,0.00062567,0.00062567
11,40.7571,0.72194,2.71081,0.95551,0.03349,0.52778,0.2657,0.20998,0.62522,3.45407,0.83237,0.0006566,0.0006566,0.0006566
12,44.3266,0.80763,2.73765,0.9456,0.03349,0.52778,0.2657,0.20998,0.62522,3.45407,0.83237,0.000637,0.000637,0.000637
13,48.0786,0.7339,2.3701,0.9839,0.68753,0.51737,0.644,0.54808,0.63803,2.32344,0.82791,0.000604,0.000604,0.000604
14,51.681,0.72161,2.24583,0.91509,0.68753,0.51737,0.644,0.54808,0.63803,2.32344,0.82791,0.000571,0.000571,0.000571
15,55.245,0.73615,2.22178,0.90961,0.68753,0.51737,0.644,0.54808,0.63803,2.32344,0.82791,0.000538,0.000538,0.000538
16,58.9401,0.72689,2.19879,0.92262,0.82006,0.75,0.81721,0.72372,0.55168,1.33218,0.83549,0.000505,0.000505,0.000505
17,62.5467,0.76139,1.94943,0.92293,0.82006,0.75,0.81721,0.72372,0.55168,1.33218,0.83549,0.000472,0.000472,0.000472
18,66.0827,0.72207,2.01281,0.93247,0.82006,0.75,0.81721,0.72372,0.55168,1.33218,0.83549,0.000439,0.000439,0.000439
19,69.7111,0.7229,1.99411,0.9261,0.82006,0.75,0.81721,0.72372,0.55168,1.33218,0.83549,0.000406,0.000406,0.000406
20,73.3978,0.67955,1.91892,0.89166,0.7621,0.93056,0.8881,0.79483,0.51834,1.02326,0.82223,0.000373,0.000373,0.000373
21,76.9845,0.56892,1.46492,0.87371,0.7621,0.93056,0.8881,0.79483,0.51834,1.02326,0.82223,0.00034,0.00034,0.00034
22,80.5088,0.60633,1.40221,0.86942,0.7621,0.93056,0.8881,0.79483,0.51834,1.02326,0.82223,0.000307,0.000307,0.000307
23,84.123,0.59147,1.42406,0.86309,0.81632,0.93891,0.93442,0.83442,0.46882,0.9623,0.80083,0.000274,0.000274,0.000274
24,87.5573,0.55247,1.24705,0.86111,0.81632,0.93891,0.93442,0.83442,0.46882,0.9623,0.80083,0.000241,0.000241,0.000241
25,91.0029,0.56887,1.3381,0.85529,0.81632,0.93891,0.93442,0.83442,0.46882,0.9623,0.80083,0.000208,0.000208,0.000208
26,94.5129,0.51995,1.26664,0.87831,0.81632,0.93891,0.93442,0.83442,0.46882,0.9623,0.80083,0.000175,0.000175,0.000175
27,98.0419,0.5187,1.20845,0.87041,0.84832,0.96175,0.96063,0.88496,0.4314,0.9629,0.7876,0.000142,0.000142,0.000142
28,101.562,0.47272,1.22689,0.87371,0.84832,0.96175,0.96063,0.88496,0.4314,0.9629,0.7876,0.000109,0.000109,0.000109
29,105.173,0.53939,1.21758,0.8351,0.84832,0.96175,0.96063,0.88496,0.4314,0.9629,0.7876,7.6e-05,7.6e-05,7.6e-05
30,108.643,0.51245,1.19521,0.86947,0.84832,0.96175,0.96063,0.88496,0.4314,0.9629,0.7876,4.3e-05,4.3e-05,4.3e-05
