epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.707,1.80907,2.73072,1.79161,0.66333,0.54718,0.59868,0.27367,1.94038,2.04892,2.02401,0.000332744,0.000332744,0.000332744
2,463.877,1.77052,1.89534,1.7731,0.66803,0.59416,0.61323,0.28048,1.90644,1.79429,2.00326,0.000644097,0.000644097,0.000644097
3,672.816,1.78795,1.82521,1.78554,0.72644,0.59087,0.62714,0.28858,1.89817,1.72393,1.97824,0.00093345,0.00093345,0.00093345
4,874.332,1.77742,1.76687,1.78006,0.69219,0.62517,0.63775,0.29411,1.87289,1.73789,1.97974,0.000901,0.000901,0.000901
5,1074.95,1.73961,1.69267,1.76423,0.78865,0.60792,0.68836,0.33707,1.91355,1.58113,2.00042,0.000868,0.000868,0.000868
6,1274.51,1.73507,1.62492,1.75379,0.74743,0.62061,0.68325,0.31981,1.84136,1.50725,1.92683,0.000835,0.000835,0.000835
7,1473.76,1.71134,1.56883,1.72197,0.77981,0.63568,0.69773,0.34251,1.80172,1.43065,1.87851,0.000802,0.000802,0.000802
8,1672.32,1.68358,1.47904,1.70358,0.77284,0.6679,0.70808,0.33514,1.82348,1.41746,1.90268,0.000769,0.000769,0.000769
9,1870.48,1.68972,1.43693,1.69493,0.74871,0.67164,0.71423,0.3362,1.77422,1.33604,1.87986,0.000736,0.000736,0.000736
10,2067.57,1.6739,1.39598,1.69008,0.85416,0.66463,0.74508,0.36359,1.81803,1.27552,1.87905,0.000703,0.000703,0.000703
11,2265.65,1.64234,1.35659,1.65577,0.81376,0.67203,0.74508,0.37811,1.76924,1.30963,1.87375,0.00067,0.00067,0.00067
12,2462.81,1.62954,1.33066,1.65708,0.76181,0.68973,0.7459,0.36687,1.79189,1.23561,1.86135,0.000637,0.000637,0.000637
13,2659.81,1.62266,1.32231,1.65718,0.82714,0.67496,0.75368,0.37375,1.78872,1.22248,1.86674,0.000604,0.000604,0.000604
14,2858.01,1.60146,1.28885,1.63795,0.82442,0.67076,0.7386,0.36982,1.7893,1.19599,1.87346,0.000571,0.000571,0.000571
15,3053.96,1.59549,1.26117,1.6305,0.81101,0.69858,0.77157,0.39254,1.77045,1.22212,1.84058,0.000538,0.000538,0.000538
16,3251.01,1.58086,1.25829,1.6208,0.8218,0.70101,0.76996,0.40158,1.70882,1.17775,1.79193,0.000505,0.000505,0.000505
17,3447.92,1.56396,1.21226,1.61228,0.85184,0.68438,0.77739,0.3989,1.71627,1.14779,1.80198,0.000472,0.000472,0.000472
18,3644.15,1.54829,1.18811,1.58874,0.85325,0.70163,0.79041,0.39928,1.71737,1.1008,1.80381,0.000439,0.000439,0.000439
19,3842.23,1.54633,1.17307,1.60141,0.8395,0.71755,0.79154,0.39504,1.75071,1.11029,1.82627,0.000406,0.000406,0.000406
20,4038.72,1.55293,1.17708,1.59919,0.84894,0.73069,0.81141,0.41743,1.70229,1.11148,1.7854,0.000373,0.000373,0.000373
21,4234.87,1.54442,1.09696,1.66379,0.85819,0.71595,0.79494,0.40888,1.73115,1.12364,1.81708,0.00034,0.00034,0.00034
22,4428.11,1.53478,1.06267,1.65085,0.88251,0.68842,0.79709,0.41524,1.69984,1.07514,1.78207,0.000307,0.000307,0.000307
23,4623.34,1.51847,1.02815,1.63372,0.86501,0.69248,0.79888,0.4132,1.7067,1.06597,1.78604,0.000274,0.000274,0.000274
24,4818.02,1.48986,0.98412,1.61229,0.80626,0.74289,0.80522,0.41822,1.67707,1.04504,1.77788,0.000241,0.000241,0.000241
25,5011.37,1.48145,0.98699,1.61431,0.8438,0.72753,0.80229,0.42247,1.66654,1.04047,1.77686,0.000208,0.000208,0.000208
26,5205.08,1.45399,0.9473,1.57501,0.83959,0.72552,0.80185,0.42412,1.6726,1.00827,1.76214,0.000175,0.000175,0.000175
27,5397.19,1.44797,0.94274,1.58303,0.82421,0.75053,0.80734,0.42595,1.64404,0.99285,1.73884,0.000142,0.000142,0.000142
28,5590.44,1.4301,0.92506,1.55865,0.84948,0.72627,0.81078,0.42823,1.65628,0.99383,1.74736,0.000109,0.000109,0.000109
29,5782.73,1.41254,0.9105,1.53088,0.85863,0.73958,0.81698,0.43089,1.6511,0.97965,1.73473,7.6e-05,7.6e-05,7.6e-05
30,5976.9,1.40754,0.89556,1.55199,0.86064,0.73701,0.81626,0.42867,1.65288,0.97422,1.74133,4.3e-05,4.3e-05,4.3e-05
